2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: No sections found in J90-2007
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: E17-1114 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: E17-1114 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: P19-1593 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: P19-1593 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: W18-6202 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: S07-1017 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: S07-1017 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: I17-4031 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: No sections found in W03-3020
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: S18-1130 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: I11-1055 issue with getting a name from an author in paper
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: L16-1509 issue with getting a name from an author in paper
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: No abstract found for W16-3505
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: No sections found in H91-1099
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: W18-0544 issue with getting a name from an author in paper
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: C16-1062 issue with getting a name from an author in paper
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: P17-1106 issue with getting a name from an author in paper
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: C16-1305 issue with getting a name from an author in paper
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: C16-1305 issue with getting a name from an author in paper
2019-09-01 16:12:09,662| WARNING|          pdf_parser|            __call__: L16-1482 issue with getting a name from an author in paper
